sample_id,treatment,time_h,concentration_mg_l,replicate
S01,Control,0,0.120,1
S02,Control,0,0.118,2
S03,Control,0,0.122,3
S04,Control,24,0.108,1
S05,Control,24,0.111,2
S06,Control,24,0.106,3
S07,Treatment_A,0,0.121,1
S08,Treatment_A,0,0.119,2
S09,Treatment_A,0,0.123,3
S10,Treatment_A,24,0.062,1
S11,Treatment_A,24,0.058,2
S12,Treatment_A,24,0.060,3
S13,Treatment_B,0,0.120,1
S14,Treatment_B,0,0.124,2
S15,Treatment_B,0,0.121,3
S16,Treatment_B,24,0.038,1
S17,Treatment_B,24,0.041,2
S18,Treatment_B,24,0.036,3
